Date,City,Pollutant,Concentration,Year,Month,YearMonth,Period
2020-01-12,Manchester,PM10,7,2020,1,2020-01-01,Pandemic
2020-01-12,Manchester,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-12,Sheffield,O3,52,2020,1,2020-01-01,Pandemic
2020-01-12,Sheffield,NO2,23,2020,1,2020-01-01,Pandemic
2020-01-12,Sheffield,PM10,5,2020,1,2020-01-01,Pandemic
2020-01-12,Sheffield,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-13,Edinburgh,O3,72,2020,1,2020-01-01,Pandemic
2020-01-13,Edinburgh,NO2,10,2020,1,2020-01-01,Pandemic
2020-01-13,Edinburgh,CO,0.045,2020,1,2020-01-01,Pandemic
2020-01-13,Edinburgh,PM10,6,2020,1,2020-01-01,Pandemic
2020-01-13,Edinburgh,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-13,London,O3,60,2020,1,2020-01-01,Pandemic
2020-01-13,London,NO2,16,2020,1,2020-01-01,Pandemic
2020-01-13,London,SO2,4,2020,1,2020-01-01,Pandemic
2020-01-13,London,CO,0.11,2020,1,2020-01-01,Pandemic
2020-01-13,London,PM10,8,2020,1,2020-01-01,Pandemic
2020-01-13,London,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-13,Manchester,O3,38,2020,1,2020-01-01,Pandemic
2020-01-13,Manchester,NO2,32,2020,1,2020-01-01,Pandemic
2020-01-13,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-13,Manchester,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-13,Manchester,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-13,Sheffield,O3,59,2020,1,2020-01-01,Pandemic
2020-01-13,Sheffield,NO2,18,2020,1,2020-01-01,Pandemic
2020-01-13,Sheffield,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-13,Sheffield,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-14,Edinburgh,O3,71,2020,1,2020-01-01,Pandemic
2020-01-14,Edinburgh,NO2,10,2020,1,2020-01-01,Pandemic
